llm_quality,llm_engagement,llm_decision_maker,llm_industry,llm_company_fit,industry,companyindustry,languages,location,companylocation,companyfoundedon,has_summary,has_skills,has_jobtitle,summary_length,skills_count,jobtitle_length,is_founder,is_director,is_manager,is_sales,is_marketing,is_tech_role,llm_seniority_Executive,llm_seniority_Mid,llm_seniority_Senior,llm_geography_other,llm_geography_regional_hub,llm_business_type_leaders,llm_business_type_others,llm_business_type_salespeople,llm_business_type_workers,companysize_11-50,companysize_2-10,companysize_201-500,companysize_5001-10000,companysize_501-1000,companysize_51-200,companysize_UNKNOWN,companytype_Government Agency,companytype_Nonprofit,companytype_Partnership,companytype_Privately Held,companytype_Public Company,companytype_Self-Employed,companytype_Sole Proprietorship,companytype_UNKNOWN
41,0.42,0.35,0.36679,0,0.39238,0.411566,0.317088,0.232045,0.244815,2012.0,0,0,1,199,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
37,0.35,0.55,0.401302,1,0.439509,0.43354,0.359807,0.228347,0.159156,2008.0,1,0,0,75,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
45,0.45,0.59,0.426168,0,0.415191,0.489607,0.302413,0.257385,0.182616,2018.0,0,0,1,391,2,26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
64,0.25,0.55,0.44865,0,0.488497,0.355433,0.34962,0.218332,0.173467,2013.0,0,1,1,305,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
52,0.46,0.27,0.324267,0,0.393171,0.443219,0.369957,0.246913,0.189325,2005.0,0,1,1,137,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
62,0.41,0.53,0.419927,1,0.451872,0.41866,0.300524,0.265081,0.224233,2022.0,0,1,1,380,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
66,0.43,0.21,0.433113,1,0.358108,0.353039,0.311273,0.212818,0.197424,2020.0,0,1,1,130,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
66,0.38,0.36,0.307331,0,0.493379,0.387432,0.34719,0.293059,0.207073,2018.0,0,1,1,56,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
44,0.45,0.55,0.413114,0,0.497114,0.367773,0.304199,0.250572,0.181415,2021.0,0,1,1,375,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
65,0.5,0.48,0.353209,1,0.460861,0.382519,0.341285,0.281953,0.164129,2021.0,0,0,1,383,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
66,0.3,0.41,0.39729,0,0.419782,0.391186,0.34788,0.265391,0.176693,2011.0,1,1,1,125,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
68,0.43,0.36,0.377107,0,0.382999,0.410196,0.34117,0.271,0.235968,2016.0,0,1,1,237,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
44,0.41,0.52,0.338961,1,0.471877,0.429356,0.325563,0.271613,0.210242,2016.0,1,0,1,69,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
39,0.31,0.48,0.320283,0,0.460453,0.350148,0.34881,0.28751,0.187799,2010.0,1,1,1,256,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
53,0.47,0.39,0.317542,1,0.383293,0.37428,0.341601,0.261361,0.228991,2009.0,0,1,1,276,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
67,0.29,0.56,0.315498,0,0.417682,0.364035,0.314535,0.227822,0.156446,2007.0,1,0,1,283,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
66,0.35,0.29,0.395669,1,0.41942,0.432451,0.339419,0.209951,0.175389,2017.0,0,1,1,227,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
52,0.19,0.27,0.352712,0,0.473962,0.399361,0.361734,0.260625,0.17301,2019.0,0,0,0,281,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
35,0.23,0.46,0.332495,1,0.452577,0.43226,0.346678,0.206635,0.248536,2019.0,1,0,1,222,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
46,0.44,0.59,0.403783,0,0.446475,0.383273,0.333025,0.224129,0.22061,2011.0,1,0,1,327,2,26,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
58,0.29,0.3,0.403027,0,0.447474,0.353634,0.322511,0.206071,0.211779,2009.0,1,1,1,71,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
52,0.29,0.3,0.380875,1,0.390571,0.491205,0.306012,0.254889,0.150498,2013.0,0,1,1,193,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
43,0.24,0.26,0.440244,0,0.405757,0.366246,0.317124,0.216034,0.168431,2015.0,1,0,1,166,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
43,0.32,0.54,0.357812,1,0.356849,0.369029,0.300783,0.261041,0.213554,2022.0,0,0,1,213,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
32,0.43,0.29,0.425379,0,0.468041,0.371982,0.369064,0.279087,0.187972,2021.0,0,0,1,56,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
41,0.46,0.4,0.311271,0,0.41495,0.497191,0.315574,0.282188,0.242428,2021.0,0,0,1,129,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
56,0.17,0.6,0.410975,0,0.415736,0.442649,0.357041,0.230954,0.226472,2020.0,1,1,1,381,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
39,0.35,0.2,0.448267,1,0.386803,0.441543,0.311805,0.254895,0.194738,2022.0,0,1,1,42,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
69,0.31,0.42,0.42699,0,0.381414,0.498005,0.319852,0.256301,0.224951,2013.0,1,1,1,254,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
33,0.36,0.4,0.38695,1,0.438173,0.363266,0.329279,0.247289,0.24754,2006.0,1,1,1,265,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
53,0.31,0.52,0.394015,1,0.384883,0.496175,0.322708,0.265511,0.196098,2007.0,1,1,1,189,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
49,0.29,0.34,0.352993,1,0.359631,0.380602,0.355885,0.221009,0.214253,2012.0,1,0,1,13,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
63,0.32,0.36,0.401923,0,0.465126,0.443461,0.367039,0.297924,0.241866,2010.0,1,0,1,13,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
65,0.35,0.27,0.415559,1,0.40647,0.413013,0.361271,0.209808,0.174867,2008.0,0,1,1,110,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
51,0.33,0.5,0.449734,0,0.407035,0.407593,0.31075,0.282922,0.238656,2022.0,0,1,1,41,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
55,0.32,0.51,0.373869,1,0.414698,0.489686,0.354368,0.25941,0.159754,2009.0,1,1,1,37,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
57,0.44,0.25,0.309196,0,0.472257,0.372384,0.310356,0.224485,0.214845,2022.0,0,1,1,64,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
50,0.41,0.36,0.389379,0,0.398126,0.49956,0.363937,0.274568,0.228284,2019.0,0,1,1,76,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
37,0.27,0.56,0.317854,0,0.463705,0.406869,0.336252,0.208448,0.211461,2017.0,0,1,0,335,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
47,0.43,0.2,0.336715,0,0.490932,0.447316,0.323547,0.277442,0.199553,2017.0,0,1,1,255,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
39,0.45,0.32,0.349317,1,0.44913,0.495186,0.310992,0.258999,0.211735,2011.0,0,0,1,12,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
48,0.2,0.42,0.409654,1,0.414752,0.35864,0.300827,0.211075,0.165166,2017.0,0,0,1,251,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
