llm_quality,llm_engagement,llm_decision_maker,llm_industry,llm_company_fit,industry,companyindustry,languages,location,companylocation,companyfoundedon,has_summary,has_skills,has_jobtitle,summary_length,skills_count,jobtitle_length,is_founder,is_director,is_manager,is_sales,is_marketing,is_tech_role,llm_seniority_Executive,llm_seniority_Mid,llm_seniority_Senior,llm_geography_other,llm_geography_regional_hub,llm_business_type_leaders,llm_business_type_others,llm_business_type_salespeople,llm_business_type_workers,companysize_11-50,companysize_2-10,companysize_201-500,companysize_5001-10000,companysize_501-1000,companysize_51-200,companysize_UNKNOWN,companytype_Government Agency,companytype_Nonprofit,companytype_Partnership,companytype_Privately Held,companytype_Public Company,companytype_Self-Employed,companytype_Sole Proprietorship,companytype_UNKNOWN
65,0.36,0.56,0.249177,1,0.712498,0.721115,0.408109,0.356365,0.500095,1985.0,0,1,1,226,2,25,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
55,0.59,0.56,0.157554,0,0.651974,0.749812,0.385095,0.33438,0.41405,1982.0,0,1,1,1049,3,21,0.0,1,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
79,0.38,0.43,0.197659,0,0.61858,0.644454,0.412646,0.345488,0.435448,1954.0,1,1,1,1480,1,23,0.0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
77,0.41,0.61,0.220139,1,0.606142,0.661191,0.427767,0.416821,0.348297,1958.0,1,1,1,1284,3,30,0.0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
78,0.58,0.52,0.193999,1,0.716601,0.620523,0.405637,0.363829,0.29263,1980.0,0,1,1,917,3,26,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
56,0.69,0.47,0.259782,1,0.673455,0.686231,0.401649,0.40969,0.428642,1951.0,1,0,1,156,3,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0,0.0,0.0,1,1,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
50,0.54,0.55,0.212734,0,0.747831,0.749637,0.381792,0.412627,0.353689,1989.0,1,1,1,1483,2,26,0.0,1,1,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,1,1,0.0,0,0.0,0.0,0.0,0
81,0.32,0.44,0.249922,0,0.669746,0.705132,0.427989,0.448921,0.445905,1965.0,1,1,1,729,1,22,0.0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
60,0.55,0.51,0.260762,0,0.746688,0.689282,0.38515,0.330664,0.489061,1979.0,0,1,1,505,4,31,0.0,1,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
72,0.32,0.59,0.215623,0,0.661736,0.658855,0.382054,0.449472,0.28454,1986.0,0,1,1,1349,2,36,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0,0.0,0.0,1,1,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
81,0.65,0.65,0.268242,1,0.719052,0.737295,0.392303,0.416677,0.428928,1966.0,0,1,1,1144,4,38,0.0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
51,0.58,0.67,0.226326,0,0.612723,0.674537,0.383277,0.352784,0.33782,1963.0,1,1,1,1149,1,28,0.0,0,1,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
50,0.37,0.5,0.260536,0,0.683319,0.620155,0.402756,0.438211,0.498472,1974.0,1,1,1,488,1,20,0.0,0,1,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
50,0.34,0.51,0.194277,0,0.720309,0.654807,0.405804,0.449769,0.343416,1973.0,1,1,1,1488,4,23,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
55,0.37,0.62,0.214846,1,0.738705,0.610075,0.395628,0.365597,0.432693,1966.0,0,1,1,734,4,15,0.0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,1,1,0.0,0,0.0,0.0,0.0,0
51,0.69,0.43,0.219083,1,0.723387,0.630297,0.382548,0.458631,0.418385,1974.0,1,1,1,843,4,38,0.0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,1,1,0.0,0,0.0,0.0,0.0,0
78,0.48,0.63,0.163647,0,0.605546,0.60265,0.38558,0.393624,0.379042,1987.0,1,1,1,1151,4,35,0.0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
71,0.61,0.5,0.201812,0,0.655905,0.667992,0.399225,0.414479,0.449405,1969.0,1,1,1,1023,1,35,0.0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0,0.0,0.0,1,1,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
