llm_quality,llm_engagement,llm_decision_maker,llm_industry,llm_company_fit,industry,companyindustry,languages,location,companylocation,companyfoundedon,has_summary,has_skills,has_jobtitle,summary_length,skills_count,jobtitle_length,is_founder,is_director,is_manager,is_sales,is_marketing,is_tech_role,llm_seniority_Executive,llm_seniority_Mid,llm_seniority_Senior,llm_geography_other,llm_geography_regional_hub,llm_business_type_leaders,llm_business_type_others,llm_business_type_salespeople,llm_business_type_workers,companysize_11-50,companysize_2-10,companysize_201-500,companysize_5001-10000,companysize_501-1000,companysize_51-200,companysize_UNKNOWN,companytype_Government Agency,companytype_Nonprofit,companytype_Partnership,companytype_Privately Held,companytype_Public Company,companytype_Self-Employed,companytype_Sole Proprietorship,companytype_UNKNOWN
94,0.7,0.97,0.384612,1,0.44615,0.485497,0.420374,0.393685,0.448549,2016.0,1,1,1,971,6,22,1,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
81,0.84,0.85,0.354077,2,0.432493,0.423142,0.412159,0.38795,0.364934,2013.0,1,1,1,2249,5,34,0,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
92,0.95,0.81,0.493777,1,0.503335,0.541161,0.390846,0.354733,0.297811,2019.0,1,1,1,894,5,20,0,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
98,0.71,0.97,0.456503,2,0.536469,0.425105,0.402654,0.445418,0.398826,2020.0,1,1,1,1772,4,49,1,1,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
95,0.75,0.86,0.445334,1,0.444253,0.493996,0.39708,0.459596,0.468443,2001.0,1,1,1,1251,7,47,0,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
88,0.83,0.92,0.461599,2,0.485325,0.448936,0.416235,0.358189,0.351281,2009.0,1,1,1,1163,4,51,0,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
81,0.9,0.95,0.429742,2,0.443475,0.496234,0.401001,0.46014,0.363762,2011.0,1,1,1,871,7,49,1,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
96,0.72,0.83,0.42142,2,0.483143,0.461839,0.392598,0.332501,0.491425,2003.0,1,1,1,2330,4,28,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
80,0.8,0.96,0.41743,2,0.493279,0.513946,0.392197,0.459495,0.410018,2007.0,1,1,1,1529,5,18,0,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
93,0.89,0.99,0.446066,1,0.49155,0.434602,0.413269,0.46327,0.490683,2020.0,1,1,1,1382,5,56,1,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
93,0.79,0.95,0.38023,2,0.493532,0.535869,0.390869,0.331687,0.391597,2000.0,1,1,1,2060,7,37,0,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
83,0.75,0.89,0.483209,1,0.420262,0.475031,0.423952,0.436823,0.518244,2009.0,1,1,1,866,4,19,1,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
94,0.75,0.98,0.471763,2,0.504031,0.513414,0.396216,0.465828,0.442699,2017.0,1,1,1,1759,5,56,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
83,0.8,0.91,0.402435,2,0.501213,0.52746,0.414263,0.456826,0.308975,2006.0,1,1,1,1640,5,59,1,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
84,0.82,0.95,0.436791,1,0.502388,0.549824,0.407788,0.465899,0.501273,2010.0,1,1,1,1740,5,35,1,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
96,0.92,0.96,0.371154,2,0.411111,0.433592,0.407714,0.407045,0.402316,2020.0,1,1,1,1010,4,49,1,1,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
99,0.86,0.95,0.495852,2,0.467026,0.443034,0.392872,0.340942,0.31541,2009.0,1,1,1,2419,7,16,1,0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
85,0.87,0.86,0.485434,2,0.461355,0.437565,0.42211,0.44897,0.318173,2003.0,1,1,1,1205,5,19,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
98,0.95,0.82,0.488285,2,0.413007,0.439431,0.425722,0.415936,0.451883,2001.0,1,1,1,1953,5,27,1,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
98,0.8,0.85,0.399824,1,0.433355,0.487367,0.390441,0.416063,0.291843,2019.0,1,1,1,2070,5,44,0,1,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
95,0.8,0.9,0.37537,2,0.466144,0.549028,0.397144,0.388416,0.351648,2005.0,1,1,1,1384,7,21,1,0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
82,0.93,0.9,0.381766,2,0.511436,0.548542,0.426156,0.410058,0.314947,2010.0,1,1,1,1022,5,16,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
85,0.76,0.92,0.3635,2,0.435559,0.479016,0.41198,0.351501,0.390269,2002.0,1,1,1,1304,5,45,0,1,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
93,0.88,0.88,0.368017,2,0.524462,0.495854,0.396002,0.433568,0.383588,2008.0,1,1,1,2171,5,49,1,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
99,0.89,0.96,0.360696,2,0.48187,0.528996,0.398112,0.340502,0.410469,2019.0,1,1,1,2341,5,48,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
96,0.72,0.98,0.498473,1,0.514063,0.53994,0.416399,0.432169,0.349909,2010.0,1,1,1,2392,4,50,1,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
88,0.82,0.85,0.361109,2,0.470883,0.430579,0.418993,0.448857,0.288011,2019.0,1,1,1,1184,6,51,1,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
84,0.75,0.95,0.369881,2,0.474879,0.479281,0.413977,0.396146,0.433597,2005.0,1,1,1,1831,4,42,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
99,0.75,0.94,0.474088,2,0.492958,0.524926,0.428126,0.401376,0.37343,2010.0,1,1,1,1056,4,38,1,1,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
85,0.82,0.9,0.437036,2,0.539196,0.44548,0.409763,0.37371,0.442834,2017.0,1,1,1,2007,4,53,1,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
86,0.77,0.84,0.466163,2,0.473772,0.465971,0.402011,0.465724,0.307167,2009.0,1,1,1,1506,5,30,0,0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
99,0.9,0.96,0.444637,1,0.479299,0.547843,0.409089,0.432637,0.283444,2006.0,1,1,1,2013,7,19,1,1,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
91,0.93,0.99,0.482326,2,0.4903,0.547757,0.404387,0.381658,0.342074,2017.0,1,1,1,1964,6,48,0,1,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0
85,0.9,0.94,0.44577,2,0.510627,0.535916,0.398977,0.354473,0.394137,2008.0,1,1,1,2487,7,27,1,1,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
