llm_quality,llm_engagement,llm_decision_maker,llm_industry,llm_company_fit,industry,companyindustry,languages,location,companylocation,companyfoundedon,has_summary,has_skills,has_jobtitle,summary_length,skills_count,jobtitle_length,is_founder,is_director,is_manager,is_sales,is_marketing,is_tech_role,llm_seniority_Executive,llm_seniority_Mid,llm_seniority_Senior,llm_geography_other,llm_geography_regional_hub,llm_business_type_leaders,llm_business_type_others,llm_business_type_salespeople,llm_business_type_workers,companysize_11-50,companysize_2-10,companysize_201-500,companysize_5001-10000,companysize_501-1000,companysize_51-200,companysize_UNKNOWN,companytype_Government Agency,companytype_Nonprofit,companytype_Partnership,companytype_Privately Held,companytype_Public Company,companytype_Self-Employed,companytype_Sole Proprietorship,companytype_UNKNOWN
85,0.85,0.75,0.40082644628099173,1.0,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,0,1,2194,0,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,0.65,0.6,0.4007449073683002,2.0,0.40076258721186375,0.5542168674698763,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,0,1,448,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,0.5,0.3,0.40082644628099173,1.0,0.40082644628099173,0.40082644628099173,0.4249999999999977,0.40082644628099173,0.5306122448979592,2016.5,0,0,1,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0.6,0.25,0.40082644628099173,1.0,0.40076258721186375,0.5542168674698763,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,0,0,88,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,0.7,0.4,0.4010471008939125,2.0,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,0,1,79,0,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0.8,0.5,0.40082644628099173,1.0,0.40082644628099173,0.40082644628099173,0.4249999999999977,0.40082644628099173,0.5306122448979592,2016.5,1,1,1,85,50,68,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,0.75,0.2,0.40082644628099173,2.0,0.40076258721186375,0.5542168674698763,0.4249999999999977,0.40082644628099173,0.5306122448979592,2016.5,1,0,0,2065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0.55,0.8,0.4006048779843736,0.0,0.400692029079937,0.4006048779843736,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,0.5,0.35,0.40088052535367036,1.0,0.40076258721186375,0.3994190280101306,0.4249999999999977,0.40082644628099173,0.40082644628099173,2010.0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
75,0.65,0.15,0.40082644628099173,2.0,0.40076258721186375,0.4008712921611117,0.4249999999999977,0.40082644628099173,0.40082644628099173,2020.0,1,0,0,348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0.65,0.25,0.40082644628099173,0.0,0.40082644628099173,0.40082644628099173,0.4249999999999977,0.40082644628099173,0.5306122448979592,2016.5,0,0,1,0,0,16,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,0.8,0.6,0.40082644628099173,2.0,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,1,1,763,50,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,0.4,0.2,0.40082644628099173,0.0,0.40076258721186375,0.5542168674698763,0.4249999999999977,0.40082644628099173,0.5306122448979592,2016.5,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0.85,0.15,0.40082644628099173,0.0,0.40082644628099173,0.40082644628099173,0.4249999999999977,0.40082644628099173,0.5306122448979592,2016.5,1,0,1,81,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,0.9,0.75,0.40082644628099173,2.0,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,0,1,2190,0,44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,0.7,0.3,0.40082644628099173,2.0,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.40082644628099173,0.5306122448979592,2016.5,1,0,1,623,0,24,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
