llm_quality,llm_engagement,llm_decision_maker,llm_industry,llm_company_fit,industry,companyindustry,languages,location,companylocation,companyfoundedon,has_summary,has_skills,has_jobtitle,summary_length,skills_count,jobtitle_length,is_founder,is_director,is_manager,is_sales,is_marketing,is_tech_role,llm_seniority_Executive,llm_seniority_Mid,llm_seniority_Senior,llm_geography_other,llm_geography_regional_hub,llm_business_type_leaders,llm_business_type_others,llm_business_type_salespeople,llm_business_type_workers,companysize_11-50,companysize_2-10,companysize_201-500,companysize_5001-10000,companysize_501-1000,companysize_51-200,companysize_UNKNOWN,companytype_Government Agency,companytype_Nonprofit,companytype_Partnership,companytype_Privately Held,companytype_Public Company,companytype_Self-Employed,companytype_Sole Proprietorship,companytype_UNKNOWN
40,0.4,0.5,0.4007964459336011,0,0.4007758666125536,0.5542168674698763,0.34885096925854153,0.4007964459336011,0.5306122448979592,2016.5,1,1,1,713,3,14,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,0.3,0.3,0.49999977583560684,0,0.40076258721186375,0.5542168674698763,0.4249999999999977,0.4651156278143411,0.5306122448979592,2016.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,0.4,0.5,0.4008712921611117,0,0.4008712921611117,0.5542168674698763,0.40085970414517025,0.3333333333333333,0.5306122448979592,2016.5,1,1,1,1960,3,36,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,0.3,0.2,0.49999977583560684,0,0.40085970414517025,0.5542168674698763,0.4008712921611117,0.4651156278143411,0.5306122448979592,2016.5,1,1,0,1481,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
65,0.4,0.8,0.4007964459336011,0,0.4007769864716088,0.4007964459336011,0.40111135181069424,0.3333333333333333,0.4007964459336011,2016.5,1,1,1,290,3,33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65,0.5,0.7,0.4007964459336011,0,0.4007769864716088,0.4007449073683002,0.4249999999999977,0.4008386837596019,0.4007769864716088,2016.5,1,1,1,372,3,41,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
75,0.65,0.3,0.400692029079937,1,0.5897294500080895,0.400692029079937,0.4007964459336011,0.3333333333333333,0.5306122448979592,2021.0,1,1,1,1167,3,14,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,0.65,0.7,0.4008386837596019,2,0.3428891870496729,0.314333552153585,0.4007964459336011,0.3333333333333333,0.28378378378400376,2017.0,1,1,1,187,3,20,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65,0.65,0.6,0.4007964459336011,1,0.4008386837596019,0.4008386837596019,0.40022473273180376,0.41304345064641534,0.4007964459336011,2003.0,1,1,1,327,3,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,0.3,0.3,0.49999977583560684,0,0.5897294500080895,0.5542168674698763,0.40111135181069424,0.3333333333333333,0.5306122448979592,2016.5,1,1,0,1195,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,0.3,0.2,0.49999977583560684,0,0.3813600376881404,0.5542168674698763,0.40022473273180376,0.4651156278143411,0.5306122448979592,2016.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,0.5,0.4,0.4008712921611117,0,0.40090038104759507,0.5542168674698763,0.4249999999999977,0.3333333333333333,0.5306122448979592,2016.5,0,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
85,0.75,0.85,0.40081271636098526,0,0.4007769864716088,0.4007758666125536,0.4249999999999977,0.41304345064641534,0.28378378378400376,2012.0,1,1,1,685,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,0.65,0.3,0.40088052535367036,0,0.5897294500080895,0.40085970414517025,0.4249999999999977,0.3333333333333333,0.28378378378400376,2025.0,1,1,1,990,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,0.3,0.3,0.49999977583560684,0,0.4008712921611117,0.5542168674698763,0.40088052535367036,0.4008712921611117,0.5306122448979592,2016.5,1,1,1,336,3,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,0.3,0.3,0.49999977583560684,0,0.4007964459336011,0.5542168674698763,0.34885096925854153,0.4007964459336011,0.5306122448979592,2016.5,1,1,1,451,3,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
85,0.8,0.8,0.4010825511642249,1,0.5004132231404959,0.40076258721186375,0.4249999999999977,0.3333333333333333,0.28378378378400376,2016.5,0,1,1,0,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
55,0.55,0.6,0.40090038104759507,0,0.40106864033129386,0.40090038104759507,0.4008712921611117,0.41304345064641534,0.28378378378400376,2016.5,1,0,1,415,0,38,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
75,0.55,0.3,0.39842021504371306,0,0.4007449073683002,0.39661479932017135,0.4249999999999977,0.3333333333333333,0.28378378378400376,2016.5,1,1,1,615,3,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
